ad_id,Unique ID,segment,scrape_date,created_date,updated_date,Estate,saleable_area_ft2,gross_area_ft2,price_hkdm,rent_hkd,Duplicated,pricechange,latest_date_filter
2783616,27836162023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Chatham Gate Kowloon Hung Hom Block and Unit: Low Floor,TOWER 1 Show more info about the Estate Chatham Gate",712.0,,11.68,,Y,True,N
2783582,27835822023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Hoi Fung Centre HK Island Shaukeiwan Block and Unit: High Floor,Hoi Fung Centre Building age: 30 Year Show more info about the Estate Hoi Fung Centre",355.0,,6.15,,Y,False,N
2783597,27835972023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Wah Fai Mansion Kowloon Tsim Sha Tsui Block and Unit: Huahui Building high-rise Show more info about the Estate Wah Fai Mansion,361.0,,4.38,,Y,False,N
2783599,27835992023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Liberte Kowloon Lai Chi Kok Block and Unit: Room A, Tower 6 Building age: 20 Year Show more info about the Estate Liberte",460.0,606.0,7.78,,Y,False,N
2783596,27835962023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Sausalito New Territories Ma On Shan Block and Unit: 3 seats D Building age: 15 Year Show more info about the Estate Sausalito,523.0,699.0,6.98,,Y,False,N
2783610,27836102023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Koway Court HK Island Chai Wan Block and Unit: Flat B, Tower 1 Building age: 40 Year Show more info about the Estate Koway Court",503.0,620.0,4.3,,Y,False,N
2783609,27836092023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Le Cap New Territories Shatin Block and Unit: 1 Tower C Building age: 5 Year Show more info about the Estate Le Cap,2144.0,,70.0,,Y,False,N
2783608,27836082023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Avon Park New Territories Fanling Block and Unit: Unit B,Mid Floor,BLOCK 3 Building age: 29 Year Show more info about the Estate Avon Park",491.0,640.0,5.8,,Y,False,N
2783602,27836022023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"The Pavilia Bay New Territories Tsuen Wan Block and Unit: Room A, Tower 1A Building age: 5 Year Show more info about the Estate The Pavilia Bay",1365.0,,28.0,,Y,False,N
2783733,27837332023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Lions Rise Kowloon Wong Tai Sin Block and Unit: 5B Tower C Building age: 11 Year Show more info about the Estate Lions Rise,521.0,676.0,9.5,,Y,False,N
2783714,27837142023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Vista Paradiso New Territories Ma On Shan Block and Unit: 09G Building age: 25 Year Show more info about the Estate Vista Paradiso,484.0,601.0,6.28,,Y,False,N
2783710,27837102023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Yung Ming Court New Territories Tseung Kwan O Block and Unit: Tower A 18 Show more info about the Estate Yung Ming Court,445.0,,5.29,,Y,False,N
2783704,27837042023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Ma On Shan Centre New Territories Ma On Shan Block and Unit: 4 seats H Building age: 29 Year Show more info about the Estate Ma On Shan Centre,522.0,701.0,7.0,,Y,False,N
2783703,27837032023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Imperial Cullinan Kowloon Olympic Block and Unit: 8 seats (sea view diamond) E Building age: 11 Year Show more info about the Estate Imperial Cullinan,913.0,1167.0,19.88,,Y,False,N
2783702,27837022023-09-14,Residential,2023-09-14,2023-09-11,2023-09-13,"Yue Tin Court New Territories Shatin Block and Unit: Mid Floor,YUE CHAK HOUSE--BLOCK D Building age: 40 Year Show more info about the Estate Yue Tin Court",466.0,,3.15,,Y,False,N
2783701,27837012023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Yan Ming Court New Territories Tseung Kwan O Block and Unit: Yanlan Court (Block D) 2 Building age: 33 Year Show more info about the Estate Yan Ming Court,645.0,827.0,6.5,,Y,False,N
2783699,27836992023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Luen Hop Building Kowloon Lok Fu Block and Unit: Mid Floor,Luen Hop Building Building age: 58 Year Show more info about the Estate Luen Hop Building",203.0,260.0,2.1,,Y,False,N
2783715,27837152023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Indihome New Territories Tsuen Wan Block and Unit: Room 18 Building age: 18 Year Show more info about the Estate Indihome,312.0,433.0,5.6,,Y,False,N
2783716,27837162023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Pictorial Garden New Territories Shatin Block and Unit: Phase 1 - (Tower 1) Yapi Court G Building age: 30 Year Show more info about the Estate Pictorial Garden,646.0,953.0,8.4,,Y,False,N
2783731,27837312023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"The Vertex Kowloon Cheung Sha Wan Block and Unit: Unit B,Low Floor,WEST WING Building age: 2 Year Show more info about the Estate The Vertex",323.0,,6.98,,Y,False,N
2783730,27837302023-09-14,Residential,2023-09-14,2023-09-11,2023-09-12,Metro City PHASE II New Territories Tseung Kwan O Block and Unit: 11th E Building age: 23 Year Show more info about the Estate Metro City,538.0,750.0,7.5,,Y,False,N
2776956,27769562023-09-14,Residential,2023-09-14,2023-09-05,2023-09-05,Larvotto HK Island Ap Lei Chau Block and Unit: Block 2 Room A Building age: 12 Year Show more info about the Estate Larvotto,1836.0,2423.0,59.8,,Y,False,N
2783726,27837262023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Tin Shing Court New Territories Tin Shui Wai Block and Unit: Shengzhen Court (Block N) Room 6 Building age: 23 Year Show more info about the Estate Tin Shing Court,650.0,,4.9,,Y,False,N
2783725,27837252023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Nob Hill Kowloon Mei Foo Block and Unit: 3B Building age: 21 Year Show more info about the Estate Nob Hill,475.0,665.0,8.1,,Y,False,N
